"comments"
"Thanks For Watchingbr /LIKE  SHARE  SUBSCRIBE -"
"Thanks for giving me a heart pls give me more love your videos and they are the best and top but please dont forget to give me a heart i am your big fan love you"
"ghar to ghar hai lakin bill gates ambani get na show nai kartay"
"Bill gates house is best for muskeh  br /Ambani"
"Lost money because he did give the poor man money"
"Muuuuuuuuuuuuuuuuukesh"
"Bill gates"
"ambani"
"Mukesh ambani <f0><U+009F><U+0098><U+008E><f0><U+009F><U+0098><U+008E>"
"Bill gates"
"Xanadu "
"I love your videos and i subscribe like share and comment to your channel pls give me a star"
"bill gates"
"I think mukesh ambani house is better than bill gates house"
"bill gates"
"Ambani"
"Both houses were beautiful beacuse they made there houses by there own money by them doing hard efforts do hard efforts to make the house like those guys"
"bill gates"
"Bill Gates"
"bill gates"
"I like my house"
"Bill gates"
"Bill"
"Tell me the name of the song played in background"
"bill gates<f0><U+009F><U+0091><U+008C>"
"bill gates<f0><U+009F><U+0091><U+008C>"
"I think mukesh ambanis house is much more beautiful than that of bill gates"
"Bill gates"
"Bill gates"
"Bill Gates house is decent br /He is not showing his money"
"mukash"
"Two man life style is superb <f0><U+009F><U+0098><U+0089><f0><U+009F><U+0098><U+008D><f0><U+009F><U+0098><U+0098>"
"Mukesh ambani"
"Bil hax moxt beautiful houxe beacuxe nature ix alwayx good <U+FFFD><U+FFFD><U+FFFD><U+FFFD><U+FFFD><U+FFFD>"
"Bill gates house is superb"
"Both Houses Are Great"
"Mukesh ambani"
"bill gates house is best"
"Bill Gates house is superb"
"mukesh ambni"
"A house for them both wouldnt matter that muchas they both are quite hardworking guysso dont overshow their houses show out their efforts That will give a sense<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E64>"
"Bill Gates hous is great"
"We Americans rocks"
"Bil gates house because his house is sorrunded with plants"
"billi gates house is superb because of the natural surroundings <f0><U+009F><U+008C><U+00B2><f0><U+009F><U+008C><U+00B3><f0><U+009F><U+008C><U+00BC><f0><U+009F><U+008C><U+00B8><f0><U+009F><U+008C><U+00B9><f0><U+009F><U+008C><U+00B1><f0><U+009F><U+008C><U+00B3><f0><U+009F><U+008C><U+0088><f0><U+009F><U+008C><U+00BA><f0><U+009F><U+008C><U+00B2><f0><U+009F><U+008C><U+00B2><f0><U+009F><U+008C><U+00B3>"
"Mukesh ambani"
"mukesh ambani house is very nice"
"Bill gates is very good he gives charity"
"I like my house br /This is my Heaven<U+FFFD><U+FFFD>"
"BILL GATES amazing HOU§E  and Ambani also good house  but Ambani showoff"
"Bill gates"
"Bill gates has  houses and each one costs more than  million"
"Bill gates has  houses and each one costs more than  million"
"mukesh ambani"
"Mukesh ambani and bill gates house is so beautiful"
"Bill gates houses is very nice"
"I like Mukesh Ambani  house very much"
"Ambani is always perfect in any matter"
"Bill gates house is betterbecause there is natural surrounding and its make peace"
"Bills gates house is more beautiful"
"Both house are awesome The thing is that they have worked very hard and then it can be possible  Its not that kind Bill Gates ka hi achaa h they both have beautiful house"
"bill gates house is nice"
"Bill gates house because of its nature friendly"
"Bill Gates house so beautiful"
"What is the name of song"
"mukesh is better"
"Bill gates house is best"
"Mukesh  house  better than   bill"
"Bill gates"
"Bill gates"
"Nature is best EVERYTHING IS NATURE<U+FFFD><U+FFFD><U+FFFD><U+FFFD><U+FFFD><U+FFFD>"
"mikes <f0><U+009F><U+008F><U+00A1>"
"Bill Gates very beautiful house"
"Mukesh house is better than bill gates house"
"Bill  gates house so beautiful"
"Bill gates"
"Bill gate"
"Bill gates house is Better then Mukesh"
"Dono ka house best hai"
"Bill Gates house soo  beautiful omg"
"Name of song plss"
"very  nice video"
"Bill gates good"
"Hii Dada ji"
"Bill great is best"
"Staying in antelia is just u r in heaven"
"Bill gates house is the bestest"
"Both"
"My house is comfortable for and that is enough for me"
"Bill is ve ry"
"Both are so beautiful"
"Mukesh ambani good house"
"Bill Gates"
"bhai money hai tabhi to show kar rha h"
"mukesh ambani"
"Bill gates is the best"
"Mukesh Ambani"
"biil gates house is cool"
"Bill Gates as its near to Nature"
"Bill gates"
